# Originally from UniProt known kinase list, but kinase.com may use alternative
# name for different kinases. For some kinases, there are alternative names
# with the same Uniprot id., or name with different cases.
AAK1 Q2M2I8 
AATK Q6ZMQ8 
LMR1 Q6ZMQ8
ABL1 P00519 
ABL2 P42684 
ACVR1B P36896
ALK4 P36896 
ACVR1C Q8NER5 
ALK7 Q8NER5
ACVR1 Q04771 
ALK2 Q04771
ACVR2A P27037 
ACTR2 P27037
ACVR2B Q13705 
ACTR2B Q13705
ACVRL1 P37023
ALK1 P37023 
ADCK1 Q86TW2 
ADCK2 Q7Z695 
ADCK5 Q3MIX3 
AKT1 P31749	
AKT2 P31751	
AKT3 Q9Y243	
ALK Q9UM73 
ALPK1 Q96QP1 
ALPK2 Q86TB3 
ALPK3 Q96L96 
AMHR2 Q16671 
MISR2 Q16671
ANKK1 Q8NFD2 
SgK288 Q8NFD2
ARAF P10398 
ATM Q13315 
ATR Q13535 
AURKA O14965 
AurA O14965
AURKB Q96GD4
AurB Q96GD4 
AURKC Q9UQB9
AurC Q9UQB9 
AXL P30530 
BCKDK O14874 
BLK P51451 
BMP2K Q9NSY1
BIKE Q9NSY1
BMPR1A P36894 
BMPR1B O00238 
BMPR2 Q13873 
BMX P51813 
BRAF P15056 
BRSK1 Q8TDC3	
BRSK2 Q8IWQ3	
BTK Q06187 
BUB1B O60566 
BUBR1 O60566
BUB1 O43683 
CAMK1D Q8IU85
CaMK1d Q8IU85	
CAMK1G Q96NX5
CaMK1g Q96NX5	
CAMK1 Q14012	
CaMK1a Q14012
CAMK2A Q9UQM7	
CaMK2a Q9UQM7
CAMK2B Q13554	
CaMK2b Q13554
CAMK2D Q13557	
CaMK2d Q13557
CAMK2G Q13555	
CaMK2g Q13555
CAMK4 Q16566	
CaMK4 Q16566
CAMKK1 Q8N5S9 
CaMKK1 Q8N5S9
CAMKK2 Q96RR4
CaMKK2 Q96RR4 
CAMKV Q8NCB2	
VACAMKL Q8NCB2
CASK O14936	
CDC42BPA Q5VT25	
MRCKa Q5VT25
CDC42BPB Q9Y5S2	
MRCKb Q9Y5S2
CDC42BPG Q6DT37	
DMPK2 Q6DT37
CDC7 O00311 
CDK10 Q15131 
CDK11A Q9UQ88
CDK11a Q9UQ88
CDK11B P21127
CDK11b P21127 
CDK12 Q9NYV4
CRK7 Q9NYV4
CDK13 Q14004 
CHED Q14004
CDK14 O94921 
PFTAIRE1 O94921
CDK15 Q96Q40 
PFTAIRE2 Q96Q40
CDK16 Q00536 
PCTAIRE1 Q00536
CDK17 Q00537 
PCTAIRE2 Q00537
CDK18 Q07002 
PCTAIRE3 Q07002
CDK19 Q9BWU1 
CDK1 P06493 
CDC2 P06493
CDK20 Q8IZL9 
CCRK Q8IZL9
CDK2 P24941 
CDK3 Q00526 
CDK4 P11802 
CDK5 Q00535 
CDK6 Q00534 
CDK7 P50613 
CDK8 P49336 
CDK9 P50750 
CDKL1 Q00532 
CDKL2 Q92772 
CDKL3 Q8IVW4 
CDKL4 Q5MAI5 
CDKL5 O76039 
CHEK1 O14757	
CHK1 O14757
CHEK2 O96017	
CHK2 O96017
CHUK O15111
IKKA O15111
IKKa O15111
CIT O14578
CRIK O14578
CLK1 P49759 
CLK2 P49760 
CLK3 P49761 
CLK4 Q9HAZ1 
COQ8A Q8NI60 
COQ8B Q96D53 
CSF1R P07333 
FMS P07333
CSK P41240 
CSNK1A1L Q8N752	
CK1a2 Q8N752
CSNK1A1 P48729	
CK1a P48729
CSNK1D P48730	
CK1d P48730
CSNK1E P49674	
CK1e P49674
CSNK1G1 Q9HCP0	
CK1g1 Q9HCP0
CSNK1G2 P78368	
CK1g2 P78368
CSNK1G3 Q9Y6M4	
CK1g3 Q9Y6M4
CSNK2A1 P68400 
CK2a1 P68400
CSNK2A2 P19784 
CK2a2 P19784
CSNK2A3 Q8NEV1 
CK2a3 Q8NEV1
DAPK1 P53355	
DAPK2 Q9UIK4	
DAPK3 O43293	
DLK O43293
DCLK1 O15075	
DCLK2 Q8N568	
DCLK3 Q9C098
ANPa P16066
ANPb P20594
CYGD Q02846	
CYGF P51841
DDR1 Q08345 
DDR2 Q16832 
DMPK Q09013	
DMPK1 Q09013
DSTYK Q6XUX3 
Dusty Q6XUX3
DYRK1A Q13627 
DYRK1B Q9Y463 
DYRK2 Q92630 
DYRK3 O43781 
DYRK4 Q9NR20 
EEF2K O00418 
EGFR P00533 
EIF2AK1 Q9BQI3 
HRI Q9BQI3
EIF2AK2 P19525 
PKR P19525
